country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8
Angola,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Albania,0,0,0,7,7,7,7,7,7,7,9,9,9,9,9
United Arab Emirates,4,4,4,4,4,4,4,4,6,10,10,10,10,10,10
Argentina,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Armenia,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7
Antigua and Barbuda,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Australia,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Austria,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Azerbaijan,4,4,4,7,7,7,7,7,7,7,10,10,10,10,10
Burundi,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8
Belgium,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Benin,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7
Burkina Faso,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7
Bangladesh,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Bulgaria,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Bahrain,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Bahamas,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
Bosnia and Herzegovina,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Belarus,1,1,5,5,5,5,7,7,7,7,7,7,7,7,6
Belize,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Bolivia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Brazil,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Barbados,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Brunei,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Bhutan,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Botswana,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7
Central African Republic,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7
Canada,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8
China,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Cote d'Ivoire,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7
Cameroon,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7
"Congo, Dem. Rep.",3,3,3,3,3,3,3,3,6,7,7,7,7,7,7
"Congo, Rep.",6,6,6,6,6,6,6,6,6,7,7,7,7,7,7
Colombia,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Comoros,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7
Cape Verde,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Costa Rica,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5
Cyprus,4,4,4,4,4,4,8,8,8,8,8,8,8,9,9
Czech Republic,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Germany,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Djibouti,4,4,4,4,4,4,4,4,4,4,4,4,7,8,8
Dominica,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Denmark,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Dominican Republic,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Algeria,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Ecuador,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2
Egypt,4,4,4,5,5,5,5,5,5,8,8,8,8,8,8
Eritrea,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Spain,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7
Estonia,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Ethiopia,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Finland,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Fiji,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
France,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
"Micronesia, Fed. Sts.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7
United Kingdom,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Georgia,4,4,8,8,8,8,9,9,9,9,9,9,9,9,9
Ghana,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Guinea,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7
Gambia,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Guinea-Bissau,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7
Equatorial Guinea,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7
Greece,1,1,1,1,1,1,1,5,7,7,7,7,7,7,9
Grenada,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Guatemala,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Guyana,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"Hong Kong, China",9,9,9,9,9,9,9,9,9,10,10,10,10,10,10
Honduras,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3
Croatia,1,1,1,1,3,3,3,3,3,3,3,5,5,5,5
Haiti,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Hungary,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Indonesia,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10
India,6,6,6,6,6,6,6,6,6,7,7,7,8,8,8
Ireland,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9
Iran,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7
Iraq,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Iceland,4,4,4,4,4,4,5,5,7,7,7,7,7,7,7
Israel,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Italy,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Jamaica,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Jordan,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Japan,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Kazakhstan,4,4,4,4,4,5,6,6,6,6,8,9,9,9,9
Kenya,3,3,3,3,3,3,3,3,3,3,3,6,6,10,10
Kyrgyz Republic,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Cambodia,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Kiribati,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
St. Kitts and Nevis,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
South Korea,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8
Kosovo,4,4,4,4,3,3,3,6,6,6,6,6,6,6,9
Kuwait,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5
Lao,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6
Lebanon,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Liberia,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Libya,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4
St. Lucia,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Liechtenstein,,,,,,,,,,,,,,2,2
Sri Lanka,4,4,4,4,4,4,6,6,6,6,6,8,8,8,8
Lesotho,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3
Lithuania,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7
Luxembourg,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Latvia,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Morocco,5,5,5,5,5,6,6,6,6,6,6,9,9,9,9
Moldova,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Madagascar,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7
Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Marshall Islands,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
North Macedonia,4,4,4,4,7,7,7,7,7,8,10,10,10,10,10
Mali,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7
Malta,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Myanmar,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
Montenegro,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Mongolia,4,4,4,4,4,4,4,5,5,6,6,6,6,6,6
Mozambique,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Mauritania,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6
Mauritius,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Malawi,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Malaysia,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Namibia,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Niger,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7
Nigeria,4,4,4,4,4,4,4,4,4,4,7,7,7,7,7
Nicaragua,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Netherlands,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4
Norway,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Nepal,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
New Zealand,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Oman,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Pakistan,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Panama,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4
Peru,7,8,8,8,8,8,8,9,9,9,9,9,9,9,9
Philippines,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9
Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5
Poland,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Puerto Rico,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Portugal,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Paraguay,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Palestine,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Qatar,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2
Romania,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Russia,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Rwanda,2,2,2,2,7,7,7,7,7,7,7,7,8,8,8
Saudi Arabia,7,7,7,8,8,8,8,8,8,8,8,8,9,9,9
Sudan,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3
Senegal,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7
Singapore,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Solomon Islands,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Sierra Leone,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6
El Salvador,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
San Marino,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6
South Sudan,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
Sao Tome and Principe,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Suriname,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Slovak Republic,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Slovenia,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5
Sweden,2,6,6,6,6,8,8,8,8,8,8,8,8,8,8
Eswatini,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2
Seychelles,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Syria,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7
Chad,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7
Togo,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7
Thailand,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Tajikistan,0,0,0,4,6,8,8,8,8,8,8,8,8,8,8
Timor-Leste,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Tonga,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Trinidad and Tobago,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Tunisia,0,0,0,0,4,4,4,4,4,4,4,4,4,6,6
Turkey,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9
Tanzania,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Uganda,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Ukraine,1,1,1,1,4,4,4,4,4,4,4,6,7,8,9
Uruguay,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
United States,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4
Uzbekistan,4,4,4,4,4,4,4,4,5,8,8,8,8,8,8
St. Vincent and the Grenadines,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Venezuela,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Vietnam,3,3,6,6,6,6,6,6,7,7,7,7,7,7,7
Vanuatu,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Samoa,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Yemen,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
South Africa,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Zambia,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Zimbabwe,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
